word,translation,toeic_target,sentence,trans_s
proficiency,n. 語言能力；精通、熟練,高級,"I have documented proficiency in English, Japanese and Chinese.",我擁有英語、日語和中文的熟練程度，並有相關證明文件。
profile,n. 人物簡介,高級,I hope my profile clearly shows my dedication to the preservation and improvement of community.,我希望我的個人簡介能清楚地展現我對社區保護和改善的奉獻精神。
degree,n. 等級；度數,中級,His resume exhibits a high degree of mastery of social media marketing.,他的履歷顯示他精通社群媒體行銷。
ethic,n. 道德；倫理,高級,"He claims to have a strong work ethic, but he's had four jobs in the past two years.",他自稱工作態度認真負責，但過去兩年他換了四份工作。
recommendation,n. 推薦；推薦信；勸告；優點,高級,"If you have any recommendations regarding what personal qualities we should look for, please let me know.",如果您對我們應該尋找哪些個人素質有任何建議，請告訴我。
weakness,n. 弱點；缺點,中級,Not looking for a better position is considered a weakness by many hiring manaders.,許多招募經理認為，不積極尋求更好的職位是一種弱點。
elsewhere,adv. 別處、其他地方,中級,"I will seek employment elsewhere, because I'm not happy with how the company is treating me.",我會另謀高就，因為我對公司對待我的方式很不滿意。
benefit,n. 利益；好處,中級,"Free gym membership, yearly professional development courses, and on-site daycare are some of the benefit the company offers.",本公司提供的福利包括免費健身房會員資格、年度專業發展課程和公司內部托兒服務。
complimentary,adj. 贈送的；免費的；讚美的,高級,"I don't like early meetings, but I definitely do enjoy the complimentary breakfast we get!",我不喜歡早會，但我很喜歡我們提供的免費早餐！
generous,adj. 慷慨的；大量的,中級,"The company dosen't offer much leave, but it is certainly generous with the salaries it offers.",這家公司雖然假期不多，但薪資待遇確實很優。
leave,n. 離開；休假,初級,I would gladly work for a lower salary if I could have more paid leave.,如果能獲得更多有薪假期，我願意接受較低的薪水。
practical,adj. 實際的；實用的,中級,"The training is very nice in theory, but it has no practical application to my work.",培訓理論上很好，但對我的工作沒有任何實際應用價值。
satisfy,v. 滿足,中級,"The benefit here really don't satisfy my need--there is no dental care, no day care, and not much leave offered.",這裡的福利實在無法滿足我的需求——沒有牙科保健，沒有日托，而且假期也不多。
diligent,adj. 勤勉的；勤奮的,高級,"She's got good ideas, but she's not particularly diligent when it comes to team work.",她有很多好點子，但在團隊合作方面卻不太勤奮。
dividend,n. 紅利；股息,高級,Our company is paying dividends in the form of a year-end bonus.,我們公司將以年終獎金的形式發放股利。
eligible,adj. 符合資格的；有資格的；合適的,高級,"He's not eligible for the position, since he doesn't have college degree.",他沒有資格擔任這個職位，因為他沒有大學學位。
entitle,v. 授權(或資格),高級,"According to our company's policy, after a year, I'll be entitled to three weeks of vacation.",根據公司規定，工作滿一年後，我將享有三週的假期。
grant,n. 獎學金；補助金,高級,I am really hoping to get a grant from that research company.,我非常希望能夠從那家研究公司獲得資助。
optional,adj. 隨意的；非必需的,高級,"I konw bonuses are technically optional, but I think the managers know that we expect them each year.",我知道獎金在技術上是可選的，但我認為管理層知道我們每年都期待拿到獎金。
productive,adj. 多產的,高級,"After his performance review, he got a raise for being so productive.",績效考核後，他因工作效率高而獲得了加薪。
representative,n. 代表,高級,I'm going to speak to our human resources representative about getting some extra time off this year.,我打算和人資部的代表談談，看看今年能不能多休幾天假。
respectively,v. 分別地；各自地,高級,"Based on our seniority, we get three and four weeks paid leave, respectively.",根據工齡，我們分別享有三週和四周的帶薪假期。
tempt,v. 引誘；吸引；打動,高級,"I am very tempted to take their offer, because the benefits are so much better than my current position.",我非常想接受他們的邀請，因為福利待遇比我現在的工作好得多。
acknowledge,v. 承認,高級,He took the credit for the project's success and didn't acknowledge her contribution at all.,他把專案成功的功勞都攬在了自己身上，完全沒有承認她的貢獻。
contribute,v. 貢獻,高級,I can't take all the credit for the plan. Everyone on the team contributed to it.,我不能獨攬這項計劃的功勞。團隊裡的每個人都為此做出了貢獻。
dedication,n. 奉獻；獻身,高級,They're hoping to inspire dedication by offering stock in the company rather than cash bonuses.,他們希望透過提供公司股票而不是現金獎金來激發員工的忠誠度。
motivate,v. 刺激；激發,高級,The bigger bonuses are meant to motivate the emplyees to work harder.,更高的獎金旨在激勵員工更加努力。
winner,n. 贏家；優勝者,初級,"After working on it night and day for a week, it looks like our proposal is going to be the winner!",經過一週日夜努力，我們的方案似乎要勝出了！
improve,v. 增進；改善,中級,She's volunteering for every work group because she's really eager to improve her chances for a promotion.,她積極主動地加入每個工作小組，因為她非常渴望提高自己的晉升機會。
look forward to,期待,中級,"I like my work, but I'm really looking forward to my vacation next week.",我喜歡我的工作，但我真的很期待下週的假期。
loyal,adj. 忠誠的；忠心的,中級,I hope my loyal service to the company will be rewarded when they give out bonuses this year.,我希望公司今年發放獎金時，我忠誠的服務能得到回報。
merit,n. 績效；價值；優點,高級,I'm tired of being passed over for promotions. I'm going to move to a company that values merit over seniority.,我厭倦了總是與晉升失之交臂。我要跳槽到一家更重視能力而非資歷的公司。
devote,v. 奉獻,高級,"In his new position, most of his time will be devoted to client relations.",在新職位上，他大部分時間將用於客戶關係。
lead,v. 領導,中級,"I'm surprised that he was promoted, because I don't think he leads his work group very well.",我很驚訝他竟然得到了晉升，因為我認為他領導工作團隊的能力並不強。
lifetime,n. 終身,中級,"She rose from cashier to chief financial officer over her lifetime, which is a very impressive achievement.",她一生中從收銀員一路晉升為財務官，這是一項非常了不起的成就。
adjustment,n. 調整,高級,"With the cost of living rising so quickly, I believe we deserve a salary adjustment.",鑑於生活成本上漲如此之快，我認為我們應該獲得薪資調整。
flexible,adj. 有彈性的,高級,"My hours in the office are flexible, but I have to be on call from 9 a.m. to 5 p.m.",我在辦公室的工作時間比較靈活，但我必須從早上9點到下午5點隨時待命。
limit,n. 限制；界限,中級,They're talking about creating a salary cap and setting separate limits for each level in the hierarchy.,他們正在討論設立薪資上限，並為層級中的每個層級設定不同的薪資限額。
pension,n. 退休金；養老金,高級,I'm very glad the company will start matching our pension contributions next year.,我很高興公司明年將開始匹配我們的退休金繳款。
raise,n. 加薪,中級,"If I don't get a raise soon, I'm going to look for another job.",如果我無法盡快獲得加薪，我就要另找工作了。
rise,v. 上升；增加,中級,"If the cost of living continues to rise, the company is going to have to increase people's salaries.",如果生活成本持續上漲，公司就得提高員工的薪資。
salary,n. 薪水,中級,"The salary in my new position is terrible, but the work is so interesting that I don't mind.",新工作的薪水很低，但是工作內容很有趣，所以我並不介意。
tenure,n. (教授等地)終身職位,高級,"Once he's gotten tenure in the position, his salary won't change.",一旦他獲得終身教職，他的薪水就不會改變了。
value,n. 價值,中級,I don't think my salary reflects the value I bring to the company.,我認為我的薪水並不能反映我為公司創造的價值。
wage,n. 薪水,中級,I work such long hours that I'm glad I get an hourly wage rather than a set salary.,我工作時間很長，所以我很高興自己是按小時計薪而不是拿固定工資。
introduce,v. 介紹,中級,The principal function of orientation is to introduce the company's culture and its methods of operation.,入職培訓的主要功能是介紹公司的文化和運作方式。
regulation,n. 規章；條例；調節,高級,Rules concerning the regulation of intellectual property rights will be introduced during orientation.,新生入學指導期間將介紹知識產權管理相關規定。
set up,v. 豎立；架起,中級,Mr. Rasheed has agreed to set up the audio system for this month's seminar.,拉希德先生已同意為本月的研討會架設音響系統。
take part in,v. 參加,中級,"Unlike last year, new programmers have to take part in the first stage of orientation this year.",與去年不同，今年新程式設計師必須參加第一階段的職前培訓。
required,adj. 要求的；必須的,中級,"The required training excursion will focus on leadership, which the president feels is lacking in many managers.",這次必修的培訓考察將著重於領導力，總統認為許多經理都缺乏這種能力。
train,v. 訓練；培訓,中級,We need to find someone who can train the staff to use the new office software.,我們需要找人來培訓員工使用新的辦公室軟體。
annual,adj. 一年一度的；每年的,高級,The annual training course is held every August.,年度培訓課程於每年八月舉行。
bring together,v. 招募；聚集,中級,We hope to bring together the most motivated and competitive employees.,我們希望匯聚最有動力、最有競爭力的員工。
build up,v. 建立,中級,The purpose of this excursion is to build up a sense of teamwork.,這次郊遊的目的是培養團隊合作精神。
guide,v. 引導,中級,Five former participants will guide trainees through the course.,五位往屆學員將指導學員完成課程。
instructor,n. 教練；指導者,高級,"She said she did not want to be an instructor, even though she will plan training course.",她說她不想當講師，儘管她會負責規劃培訓課程。
mentor,n. 導師；良師益友,高級,"Each group of trainees will be assigned a mentor, who will assist them during the hands-on portion.",每組學員將指派一名導師，在實務操作環節為他們提供協助。
session,n. (授課活動等的)時間；會議,高級,"Each session will run for two hours, followed by a 20-minute break.",每節課持續兩小時，之後休息 20 分鐘。
site,n. 地點,中級,The site for this year's training seminar will be in Frankfurt.,今年的培訓研討會將在法蘭克福舉行。
entertainment,n. 娛樂,中級,Karaoke has become a popular form of entertainment at birthday parties.,卡拉OK已成為生日派對上一種流行的娛樂形式。
invite,v. 邀請,初級,"Be sure to invite all the managers, even ones from other department.",務必邀請所有經理，甚至包括其他部門的經理。
present,n. 禮物,中級,"While bringing a present is not required, it is highly recommended.",雖然不強制要求帶禮物，但強烈建議帶。
welcome,v. 歡迎,初級,I would like to welcome you all to Kathy and Steve's first baby shower.,歡迎大家參加凱西和史蒂夫的第一次迎嬰派對。
congratulate,v. 恭喜,中級,Let me be the first to congratulate you on your upcoming wedding and to wish you the very best.,讓我第一個祝賀你即將步入婚姻殿堂，並祝你一切順利。
farewell,adj. 送別的,中級,Is Mrs. Kerry retiring before or after her farewell party?,凱瑞夫人是在告別派對之前還是之後退休？
party,n. 宴會；派對；政黨,初級,Do you think it would be better to held Mr. Smith's farewell party at a restaurant or a bar?,您認為在餐廳還是酒吧為史密斯先生舉辦告別派對比較好？
theme,n. 主題；題材,中級,Has anyone decided if the party's theme will be a cruise voyage or an Italian getaway.,有人決定好派對的主題是郵輪之旅還是在義大利度假嗎？
attribute,v. 歸因於,高級,She attributes her successes to the support of her coworkers and staff.,她將自己的成功歸功於同事和員工的支持。
awards ceremony,n. 頒獎典禮,高級,The president will present the achievement awards during the awards ceremony following dinner.,總統將在晚宴後的頒獎典禮上頒發成就獎。
banquet,n. 宴會；設宴款待,高級,The organizers have arranged for the banquet to be held in the hotel's conference room.,主辦單位已安排在飯店會議室舉行宴會。
celebrate,v. 慶祝,中級,"Once the president has finished her speech, we will celebrate the entrance of new employees into the company.",總統演講結束後，我們將慶祝新員工加入公司。
commemorate,v. 慶祝；紀念,高級,This event will commemorate our organization's 20th year of operation.,本次活動旨在紀念我們組織成立20週年。
activity,n. 活動,中級,Which activities did you have in mind for this year's Christmas party.,今年聖誕派對有哪些活動計畫？
ancient,adj. 古代的,中級,Giving children gifts of money at Chinese New Year is an ancient tradition in China.,在中國，春節給孩子壓歲錢是一個古老的傳統。
atmosphere,n. 氣氛,中級,"Keeping the time limit to three hours will help us maintain a festive atmosphere; more than that, and peaple will tired.",將時間限制在三個小時內有助於我們保持節日氣氛；超過三個小時，人們會感到疲倦。
costume,n. 服裝；戲服,中級,We would like to remind employees that the wearing of costumes will not be permitted this Halloween.,我們想提醒各位員工，今年萬聖節不允許穿戲服。
gather,v. 聚集,中級,Employees should gather for New Year's party by 7p.m.,員工應於晚上7點前集合參加新年派對。
observe,v. 慶祝(節日等)；遵守；觀察,中級,"This year, we will be observing both the Western and Chinese New years.",今年，我們將同時慶祝西方新年和中國新年。
anniversary,n. 週年紀念,高級,"Johnson's 25th wedding anniversary is this Friday, so let's have a small party for him at the office.",約翰遜的結婚25週年紀念日是本週五，所以我們在辦公室為他舉辦一個小型派對。
admire,v. 欽佩；欣賞；誇獎,中級,I think I speak for everyone here when I say how much I have admired your professionalism over the years.,我想我代表在座各位表達了我對您多年來專業精神的欽佩之情。
expect,v. 預期,中級,"When planning for retirement, it is important to expect medical costs to increse.",規劃退休生活時，請務必考慮醫療費用上漲的可能性。
retire,v. 退休,高級,I can't believe Mrs. Yamada will be able to retire at 55.,我簡直不敢相信山田太太55歲就能退休。
apprentice,n. 學徒；見習生,高級,My machanic is looking for an apprentice.,我的修車師傅正在招學徒。
assistant,n. 助手；助理,中級,I can't keep up with this paperwork. I need an assistant.,我忙不過來這些文書工作，我需要個助手。
associate,n. 夥伴；合夥人,高級,"This is George, my business associate.",這是我的生意夥伴喬治。
in charge of,負責,中級,She is in charge of North American sales.,她負責北美地區的銷售工作。
beneath,prep. 在...之下,中級,There are at least 10 people beneath her in the department.,部門裡至少有 10 個人比她低一級。
executive,adj. 行政上的；管理階層的,高級,This is her first time in an executive position.,這是她第一次擔任管理職。
fluctuation,n. 變動；變化,高級,The constant fluctuations in personal mean I never know who my real boss is.,人員變動頻繁，代表我永遠不知道誰才是我的真正老闆。
level,n. 程度；等級,初級,"I thought my work was good, but his performance is really on another level.",我以為我的作品已經很好了，但他的表現真的遠遠超出我的水準。
personnel,n. (總稱)員工；人事,高級,"If they don't hire some new people, they're going to face a serious personnel crisis.",如果他們不招些新人，他們將面臨嚴重的人事危機。
select,v. 選擇,中級,I'm hoping to be selected as the new team leader.,我希望被選為新的團隊領導。
supervisor,n. 主管,高級,I really need my supervisor to clarify what she want me to do.,我真的需要我的主管明確告訴我她想讓我做什麼。
understaffed,adj. 人手不足的,高級,We're so understaffed; I've ended up working until 10 p.m. every night this week.,我們人手嚴重不足；這週我每天晚上都要工作到晚上10點。
respectful,adj. 尊重人的,中級,He has to learn to be more respectful of his superiors if he want to get ahead.,他如果想獲得晉升，就必須學會更尊重上級。
spare,adj. 多餘的,中級,"It is just a small business corporation, so it may not have spare workforce for this projects.",它只是一家小型企業，所以可能沒有足夠的人手來參與這些項目。
resign,v. 辭職,高級,I dont want to resign until I've found a new position.,在我找到新工作之前，我不想辭職。
assignment,n. 任務；作業,高級,Have you finished the assignment yet?,你完成作業了嗎？
busy,adj. 忙碌的,初級,"She asked me to pick up her shift on Saturday, but I'm just too busy.",她要我星期六替她上班，但我實在太忙了。
shift,n. 輪班,高級,"I've got early shifts all week, so I can't stay up late.",我這週都要上早班，所以不能熬夜。
collaborate,v. 合作,高級,Ther've decided that they want sales and marketing to collaborate on the new plan.,他們決定讓銷售和市場部門合作制定新計劃。
department,n. 部門；科系,中級,"We used to have lunch together, but now that she's moved to another department, I hardly to see her anymore.",我們以前常常一起吃午飯，但是自從她調到另一個部門後，我就很少見到她了。
integral,adj. 不可或缺的,高級,He's an integral part of the design team. I don't know what I'd do without him.,他是設計團隊不可或缺的一員。沒有他，我真不知道該怎麼辦。
buyout,n. 買斷；(產權)全部買下,高級,The company promises thst nothing will change for enployees after the buyout.,公司承諾，收購完成後，員工的待遇不會有任何改變。
control,v. 控制,中級,I control the acquisition process at the company.,我負責公司的收購流程。
takeover,n. 收購；接管,高級,There will definitely be layoffs after the takeover.,收購完成後一定會有裁員。
transition,n. 過渡；交接,高級,They've sent a team of human resources specialists to help make sure the transition is smooth.,他們派出了一支人力資源專家團隊，以確保過渡順利進行。
acquisition,n. 收購,高級,They get rid of their competition through acquisitions.,他們透過收購來剷除競爭對手。
corporate,adj. 公司的；企業的,高級,"In my opinion, only a corporate lawyer can answer those questions.",我認為只有公司律師才能回答這些問題。
institute,n. (專科性的)學校，學院，大學；研究所,高級,The merging of these two well-known institutes has shocked the academic circles.,這兩所知名機構的合併震驚了學術界。
merger,n. (公司等的)合併,高級,What will the company's name be after the merger?,合併後公司會叫什麼名字？
transfer,v. 轉讓,高級,We're going to transfer all our design work to them as part of the merger.,作為合併的一部分，我們將把所有的設計工作轉移給他們。
appoint,v. 任命；委派職務,高級,I can't believe the CEO appointed his daughter as chair of the research committee!,我簡直不敢相信執行長竟然任命自己的女兒擔任研究委員會主席！
be accounted for,出席；到齊,高級,"All the board members are accounted for, so I think we're ready to get started on the vote.",所有董事會成員都已到位，所以我認為我們可以開始投票了。
board,n. 董事會；(有特定用途的)板；牌子,高級,"I think it's a great idea, but the board is so conservative that they might not approve it.",我覺得這是個好主意，但董事會非常保守，他們可能不會批准。
boardroom,n. 董事會會議室,高級,All the executives are gathered in the boardroom right now. I wonder what's going on.,所有高階主管現在都聚集在會議室。我想知道發生了什麼事。
direct,v. 指揮；主持；管理,中級,Who's going to direct the research team.,誰來領導研究團隊？
reliable,adj. 可靠的,中級,He's so reliable; he's never missed a deadline.,他非常可靠，從未錯過任何截止日期。
title,n. 頭銜,中級,The promotion is really just a change of title. Idon't have any new responsibilities.,這次晉升其實只是換了個頭銜，我沒有任何新的職責。
brick,n. 磚,初級,"The interior is wood paneling, but exterior is red brick.",內部採用木質鑲板，但外部是紅磚。
carpet,n. 地毯,初級,Putting down carpet would help reduce the noise levels.,鋪設地毯有助於降低噪音。
closet,n. 衣櫥,初級,"Seeing as there are no closets, storage space will be a problem.",由於沒有衣櫃，儲物空間將是一個問題。
compartment,n. 包廂；隔間,高級,"Each room is divided into three compartments, each of which is large enough to accommodate three cubicles.",每個房間分為三個隔間，每個隔間都足夠大，可以容納三個隔間。
entrance,n. 入口,初級,The south entrance needs a new passkey machine installed.,南入口需要安裝新的門禁卡機。
furnished,adj. 配有家具的,高級,"A temporary solution would be to rent a furnished office, but it will be expensive.",一個臨時的解決方案是租用一間帶家具的辦公室，但這會很昂貴。
garage,n. 車庫,初級,The garage has space for thirty cars and two trucks.,車庫可容納三十輛轎車和兩輛卡車。
lobby,n. 大廳；門廊,高級,"Given the large windows, the lobby should be right enough to make vistors feel comfortable.",鑑於大廳擁有寬大的窗戶，應該足以讓訪客感到舒適。
shelf,n. (書櫃等的)架子,初級,We will need to install shelves in each cubicle so that workers have some place to display personal items.,我們需要在每個隔間安裝擱板，以便員工有地方展示個人物品。
staff lounge,n. 員工休息室,中級,Employees have asked for a refrigerator to be installed in the staff lounge.,員工要求在員工休息室安裝一台冰箱。
wing,n. 側廳；廂房,中級,The north wing will house the IT department and all it servers.,北翼將容納IT部門和所有IT伺服器。
workplace,n. 工作場所,中級,Will we be able to maintain safety in a workplace this narrow? There's limited space between the walls and the robots.,在如此狹窄的工作場所，我們能否保證安全？牆壁和機器人之間的空間非常有限。
adjacent,adj. 鄰接的,高級,The adjacent building blocks most of the afternoon sunlight.,隔壁的建築物擋住了大部分下午的陽光。
broad,adj. 寬的,中級,The service road is broad enough so that our trucks will have no problem driving down it.,這條輔路很寬，我們的卡車行駛應該沒問題。
construction,n. 建築物,中級,"There are no large constructions nearby, so we anticipate no difficulties receiving satellite signals.",附近沒有大型建築物，因此我們預計接收衛星訊號不會有任何問題。
district,n. 區域,中級,"Our new office is in a residential district, so it is expected there will be a lot of houses and schools there.",我們的新辦公室位於居民區，所以預計那裡會有很多房屋和學校。
indoor,adj. 室內的,初級,"It's too dark, there's not enough indoor lighting in the warehouse.",倉庫裡太黑了，室內照明不足。
location,n. 位置；場所；所在地,中級,Rail and highway access is a key consideration when selecting a location for our new factory.,在選擇新工廠的選址時，鐵路和公路交通便利性是一個關鍵的考慮因素。
neighborhood,n. 鄰近地區,中級,"The surrounging neighborhood is mostly apartments and convenience stores, with a couple of small parks.",週邊地區大多是公寓和便利商店，只有幾個小公園。
on-site,adj. 就地的；現場的,高級,"Dangerous materials cannot be stored in on-site containers. Instead, they must be transported to a remote location.",危險物質不能儲存在現場的容器中，必須運送到偏遠地點。
patio,n. 中庭；院子,高級,The patio is wide enough for three sets of tables and chairs.,露台足夠寬敞，可以擺放三套桌椅。
railing,n. 欄杆，扶手；柵欄，圍欄,高級,"To comply with safety regulations, every second-floor landing must have a railing.",為符合安全規定，每個二樓平台都必須安裝欄桿。
statue,n. 雕像,中級,The mayor's office is considering putting up a statue of the town's founder at corner.,市長辦公室正在考慮在街角豎立一座該鎮創始人的雕像。
suburb,n. 郊區,高級,"Most suburbs have a large amount of residential housing, some small buisnesses catering to resident, and little to no industry.",大多數郊區都有大量的住宅，一些服務於居民的小型企業，但幾乎沒有工業。
surround,v. 圍繞,中級,The city has ruled that all factories must be surrounded by a green zone not less than 10 meters wide.,該市規定，所有工廠周圍必須有不小於10公尺寬的綠帶。
work on,從事,中級,Our recent environmental impact evaluation makes it clear we must work on reducing our emissions.,我們最近的環境影響評估表明，我們必須努力減少排放。
amenities,n. 福利設施,高級,"These company dormitories have all the standard amenities of a mid-priced hotel, including Wi-Fi and cable TV.",這些公司宿舍具備中階飯店的所有標準設施，包括無線網路和有線電視。
basic,adj. 基本的；基礎的,初級,"The basic utilities, water and electricity, are included in the rental fee.",租金包含水、電等基本生活費用。
convenient,adj. 方便的,中級,The location is convenient for anyone needing easy access to downtown.,對於任何需要便捷前往市中心的人來說，這裡地理位置十分便利。
electricity,n. 電力,中級,The power company has a buy-back scheme for local households with solar power systems generating excess electricity.,電力公司為當地擁有太陽能發電系統並產生多餘電力的家庭提供回購計畫。
energy,n. 能量,中級,The president is considering installing a geothermal energy system to heat the building.,總統正在考慮安裝地熱能源系統為大樓供暖。
reduce,v. 減少；降低,中級,Is there any way to reduce our gas bill? It has gone beyond our budget for the third month in a row now.,有什麼辦法可以降低我們的瓦斯費嗎？這已經連續三個月超出預算了。
stationery,n. 文具,高級,"Given how much paper our office uses, we need to find a cheap stationery supplier immediately.",鑑於我們辦公室用紙量很大，我們需要立即找到一家價格低廉的辦公用品供應商。
utilities,n. 公用事業(通常指水、電、瓦斯等),高級,"Among the utilities we will need to hook up first, electricity and gas are the highest priority.",在我們需要優先接通的各種公用設施中，電力和天然氣是最重要的。
monitor,n. 監視器,中級,The building has monitors for both the front and rear entrances.,大樓前後入口均設有監視器。
lease,n. 租金；租約 v. 租借,高級,The cost of the lease is too high; it would've been cheaper if we had bought a space for long-term use.,租金太高了；如果我們買個地方長期使用會比較便宜。
mortgage,n. 抵押借款,高級,"Before we consider taking out a mortgage, let's look into renting an office space.",在考慮申請抵押貸款之前，我們先來看看租用辦公空間的情況。
stationary,adj. 不動的；固定的,高級,"Actually, the interior walls are not stationary; they can be removed to create a large space.",實際上，內牆並非固定不變；它們可以拆除以創造一個更大的空間。
tenant,n. 房客；承租人；住戶,高級,"The previous tenants falied to do necessary maintenance, so the property needs a lots of cleaning and repairs.",之前的租戶沒有進行必要的維護，所以這處房產需要大量的清潔和維修。
trustee,n. 收託人,高級,"Since the original owner died, the property has been managed by a trustee.",自原業主過世後，該房產一直由受託人管理。
borrow,v. 借入,初級,Can I borrow the book when you're finished.,你寫完後我可以藉這本書嗎？
extension,n. 延長時間；延期,高級,We haven't finished using the conference room--can we have an extension until 3p.m.?,我們還沒用完會議室──可以延到下午3點嗎？
rent,v. 租入；租出,初級,"I'm looking for an apartment to rent, but I hope to buy a house soon.",我正在尋找出租公寓，但我希望不久後能買一棟房子。
reserve,v. 預約；保留,中級,I'm going to reserve a van to take us to the company picnic.,我打算預訂麵包車送我們去參加公司野餐。
belong,v. 屬於,初級,Who does this tablet belong to?,這塊平板電腦是誰的？
demolish,v. 拆除；破壞,高級,It can't be fixed. there is no other way but to demolish it.,它無法修復，除了拆除別無他法。
dispose,v. 處理,高級,Where should I dispose of dead batteries?,廢電池該如何處理？
renovate,v. 整修,高級,"The apartment is shabby now, but imagine how it could be if we renovate it!",這間公寓現在很破舊，但想像一下，如果我們翻新一下，它會變得多麼漂亮！
repair,v. 修理,中級,Do you know of a shop that repairs watches.,你知道哪裡有修手錶的店嗎？
occupy,v. 占用,高級,I'm afraid we're going to occupy the only meeting room all day.,恐怕我們今天得佔用唯一的會議室一整天了。
share,v. 分享,初級,I share an office with Tom Smith.,我和湯姆‧史密斯共用一間辦公室。
as needed,phr. 需要的時候,中級,"We don't restock our stationery according to any schedule, just as needed.",我們沒有固定的辦公用品補貨時間表，而是根據需要隨時補貨。
alternative,n. 選擇；替代方案,中級,What you're suggesting isn't possible. Can you give me an alternative.,你提出的方案行不通。你能給我一個替代方案嗎？
detailed,adj. 詳細的,初級,"I've never done this before, so please be as detailed as possible in your instruction.",我以前從未做過這件事，所以請盡可能詳細地說明。
insufficient,adj. 不足的；不充分的,高級,"I thought I'd be able to assemble this by my self, but the manual is completely insufficient.",我以為可以自己組裝，但是說明書完全不夠用。
once,adv. 一旦；只要,初級,"Once you're fitted the bolt, slowly turn the gear.",安裝好螺栓後，慢慢轉動齒輪。
periodically,adv. 週期性地,中級,Shake the can periodically so the paint doesn't settle.,定期搖晃罐子，以免油漆沉澱。
procedure,n. 程序，手續；步驟,中級,"It's such a simple procedure, I don't think I need to read the directions.",這個過程非常簡單，我覺得不需要看說明書。
secure,v. 把......固定,中級,"Secure the handle, then turn on the machine.",固定好把手，然後啟動機器。
appliance,n. 設備；用具；裝置,中級,Our office appliances are so out-of-date.,我們的辦公設備太老舊了。
container,n. 容器,初級,Where's the container for paper clips.,放回形針的盒子在哪裡？
contractor,n. 包商；承包人,中級,No one here knows how to do a repair that complex. We'll have to hire a contractor.,這裡沒人會做這麼複雜的維修。我們得僱個承包商。
device,n. 裝置；器械；儀器,初級,"In an office with no pencils, a pencil sharpener is a useless device.",在沒有鉛筆的辦公室裡，削鉛筆器就是一件沒用的事。
directory,n. 電話簿；通訊錄,中級,Could you check the personnel directory and find out how to contact each team member.,請查閱人員名錄，找出每位團隊成員的聯絡方式。
equipment,n. 設備；配備；器材,中級,I hope they're going to order some new printing equipment.,我希望他們能訂購一些新的印刷設備。
facility,n. (尤指包含多個建築物，有特定用途的)設施；場所,中級,"If we want to produce things on such a huge scale, we're going to need a much bigger facility.",如果我們想大規模生產產品，就需要更大的廠房。
maintenance,n. 維修；保養,中級,We need a maintenance crew to come take a look at this leak in the kitchen.,我們需要維修人員來檢查廚房的漏水問題。
property,n. 財產；所有物,中級,"We're not allow to take company property home, not even pens.",我們不被允許把公司財物帶回家，連鋼筆也不行。
resource,n. 資源,初級,"You can't move the scanner into your office, it's a shared resource!",你不能把掃描器搬進你的辦公室，它是共享資源！
software,n. 電腦軟體,初級,We need to update our accounting software.,我們需要更新會計軟體。
acquaint,v. 使認識、使熟悉,中級,You really should acquaint yourself with the machine before you need to use it urgently.,在急需使用機器之前，你真的應該先熟悉一下它的功能。
at all time,phr. 任何時候,初級,Please use caution at all time when operating the espresso machine.,操作咖啡機時請務必隨時小心謹慎。
carefully,adv. 小心地,初級,You have to add the cartridge very carefully or it'll jam.,你必須非常小心地安裝墨盒，否則會卡住。
follow,v. 跟隨；聽從,初級,"If you don't follow the instructions, you might break something.",如果不按說明操作，可能會損壞東西。
helpful,adj. 有幫助的,初級,"If you don't bother to read the manual, you'll find it's very helpful.",如果你不去看說明書，你會發現它非常有用。
manual,n. 手冊；簡介,中級,Didn't the box contain a user's manual?,包裝盒裡沒有使用手冊嗎？
method,n. 方法,初級,"The manual say ""break down the machine"" but doesn't give us any method for doing that!",說明書上說“拆解機器”，但沒有告訴我們具體該怎麼做！
structure,n. 結構；構造；建築物,中級,There's an office shelving structure in the instructions diagram that I can't identify.,說明書圖示中有一個辦公書架結構，但我無法辨識。
complete,v. 完成,初級,"Several employees have complained that evem though they completed the customer's data entry, they system didn't save it.",多名員工抱怨說，即使他們完成了客戶資料輸入，系統也沒有保存資料。
fill,v. 填滿；填寫,初級,The clients filled the remaining space with their e-mail addresses.,客戶們在剩餘的空白處填寫了自己的電子郵件地址。
item,n. 項目,初級,Data entry forms should not have more than 10 items.,資料輸入表不應超過10項。
signature,n. 簽名,中級,Every form must have space for three signatures.,每份表格必須留出三個簽名空間。
template,n. 範本,中級,Be sure to use the approved template whenever creating new expense reports.,建立新的費用報告時，請務必使用已核准的範本。
approve,v. 贊成；同意；批准,中級,"1. Before your loan application can be approved, you need to provide proof of your assets. 2. Do you approve of this plan?",1. 您的貸款申請獲批前，需要提供資產證明。 2. 您是否同意此方案？
deadline,n. 截止期限,中級,"The deadline is January 20, so make sure you finish the report no later than the 19th.",截止日期是1月20日，所以請確保在1月19日之前完成報告。
reject,v. 拒絕；駁回,初級,The most common reason for rejecting an application is completing the paperwork incorrectly.,申請被拒的最常見原因是表格填寫不正確。
rush,v. 催趕；衝忙趕事,初級,There is no way to rush the process without sacrificing quality.,加快這個過程必然會犧牲品質。
submit,v. 送出；繳交,初級,Fifteen candidates submitted applications for the assistant manager position.,共有十五名候選人申請助理經理職位。
